country,year,value_cre_pob,value_pib_per,esp_vida,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,HDI_Value
Bolivia,2013,1.629573199,5.069795424,67.021,74429.4140625,74217.265625,10.542377,4.8136157989502,,2.7987813949585,58249.19921875,69570.09375,74769.609375,72011.109375,134753.671875,0.0022396235726773,0.531591475009918,0.49696096777916,76182.9453125,67686.9765625,78991.140625,146652.0625,0.762596189975739,1.02189791202545,0.980073630809784,0.459841638803482,0.218090206384659,0.0626611635088921,6.91,0.389645934104919,0.410050809383392,0.425758421421051,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.477335033071985,72.2222222222222,0.714181661605835,0.157210424542427,0.0947101414203644,0.274929314851761,-0.217468574643135,-0.0235630106180906,0.358802258968353,0.515039503574371,0.622229218482971,0.616601884365082,0.597246408462524,0.352458268404007,1.08257436752319,0.681
Bolivia,2014,1.603315107,3.783187059,67.163,78133.875,77702.890625,10.706517,4.96758317947388,,2.82598876953125,64721.01953125,77402.3984375,78439.1328125,75865.2109375,145924.09375,0.002402669750154,0.51491779088974,0.507298946380615,80342.9609375,71520.34375,84565.8515625,156414.53125,0.817601442337036,1.01708173751831,0.990224301815033,0.472389847040176,0.200517565011978,0.0640932992100716,6.91,0.395848572254181,0.420659780502319,0.434931725263596,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.477472848521788,76.6666666666667,0.749601900577545,0.167156741023064,0.103503480553627,0.276323735713959,-0.238159522414207,-0.0584263876080513,0.365173757076263,0.547286689281464,0.618004500865936,0.613263428211212,0.580699980258942,0.364767819643021,1.01890182495117,0.683
Bolivia,2015,1.57314494,3.220538823,67.318,79762.6796875,79743.34375,10.86973,5.02957201004028,,2.85346055030823,71842.8359375,84672.9609375,79732.53125,79589.765625,159171.125,0.0026465263217687,0.488363564014435,0.500932216644287,84245.3671875,75788.34375,88715.0234375,166227.625,0.878840804100037,1.01333820819855,0.987043023109436,0.498506903648376,0.176602408289909,0.0660077631473541,6.91,0.394640773534775,0.413886219263077,0.414628654718399,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.463625697310612,78.8889,0.777104020118713,0.161203235387802,0.12556017935276,0.207192003726959,-0.236974373459816,-0.0340850986540318,0.365057617425919,0.521651983261108,0.577733755111694,0.541110873222351,0.521881937980652,0.350282311439514,0.847928881645203,0.688
Bolivia,2016,1.547288296,2.663074214,67.628,83225.1640625,83909.0859375,11.031814,5.15277433395386,,2.88119912147522,74928.0390625,89162.390625,82999.71875,83540.7578125,170128.6875,0.0027777983341366,0.487052708864212,0.502187609672546,87837.5078125,78079.765625,92541.078125,175522.953125,0.934632539749146,1.0082094669342,0.982507526874542,0.498506903648376,0.177699699997902,0.0679230540990829,6.91,0.39122998714447,0.408930271863937,0.406281918287277,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.455602686354563,68.8889,0.769092619419098,0.170388102531433,0.127811387181282,0.153123527765274,-0.184082433581352,-0.0363331623375416,0.364021122455597,0.502102673053741,0.55495673418045,0.565051317214966,0.553704500198364,0.343165516853333,0.804699420928955,0.7
Bolivia,2017,1.520108881,2.623303336,67.701,92562.421875,91522.484375,11.192855,5.27196359634399,,2.90920758247375,81806.0703125,98945.7734375,92562.421875,91522.484375,186282.25,0.002977238735184,0.499524772167206,0.519484043121338,91522.484375,81806.0703125,98945.7734375,186282.25,1.0,1.0,1.0,0.498506903648376,0.187806844711304,0.0695003122091293,6.91,0.388245701789856,0.405225813388824,0.409830272197723,Benchmark,Benchmark,Market-based,Regular,Regular,0.510159514837083,67.7777666666667,0.764877557754517,0.187273159623146,0.128958210349083,0.15396074950695,-0.191816419363022,-0.0432532392442226,0.362500011920929,0.486270308494568,0.540948688983917,0.591734707355499,0.529883980751038,0.335095643997192,0.800522327423096,0.707
Bolivia,2018,1.487474197,2.684797339,67.748,97495.0703125,96384.859375,11.353142,5.40282011032104,,2.93748831748962,85465.625,102362.6484375,97365.484375,96407.1015625,196024.359375,0.0030849757604301,0.496253311634064,0.506624341011047,95388.0625,85465.6875,102369.8125,196739.234375,1.06190180778503,0.991149663925171,0.983892560005188,0.498506903648376,0.198138281702995,0.0709693878889084,6.91,0.39849442243576,0.413777500391006,0.417890876531601,Extrapolated,Benchmark,Market-based,Regular,Regular,,66.6666666666667,0.756878793239594,0.175267428159714,0.129628777503967,0.155867680907249,-0.190641790628433,-0.0270008984953165,0.369980305433273,0.491079717874527,0.564983129501343,0.603240013122559,0.546521902084351,0.333335727453232,0.783232510089874,0.712
Bolivia,2019,1.457504391,0.737697155,67.841,99341.8359375,98835.7109375,11.5131,5.54382562637329,,2.96604371070862,88655.8125,105508.6796875,99103.8125,98644.46875,204495.015625,0.0031236237846314,0.487122893333435,0.501100301742554,97502.5234375,88621.9765625,105534.2734375,205550.796875,1.11039817333221,0.975904285907745,0.97704690694809,0.498506903648376,0.192824929952621,0.0716052129864693,6.91,0.399413734674454,0.41265133023262,0.414572864770889,Extrapolated,Extrapolated,Market-based,Regular,Regular,,66.6666666666667,0.76662015914917,0.170844554901123,0.132120624184608,0.144561111927032,-0.185160011053085,-0.0289864502847195,0.3701351583004,0.482288777828217,0.569300532341003,0.61989414691925,0.563774645328522,0.331591576337814,0.760300874710083,0.715
Brazil,2000,1.36677133,2.970910781,69.737,1640023.875,1653572.375,174.79034,68.1304550170898,1837.92704997124,2.04516577720642,1313859.375,1642064.0,1599360.75,1614590.25,5062075.5,0.0843687653541565,0.66824609041214,0.653744280338287,2005781.25,1593407.5,2055242.25,7939500.5,0.612686157226562,1.15503454208374,1.19138085842133,0.537806510925293,0.130635678768158,0.0457583703100681,1.82942312207561,0.411773294210434,0.407887995243073,0.404040634632111,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.587639987468719,0.203274235129356,0.226101711392403,0.0858361348509789,-0.101086817681789,-0.0017652311362326,0.441608965396881,0.392334520816803,0.334230214357376,0.475173890590668,0.5031498670578,0.317148804664612,0.960477292537689,0.668
Brazil,2001,1.320694758,0.059648944,70.195,1630182.5,1645849.75,177.196054,68.4563903808594,1828.32639443615,2.08590292930603,1303463.0,1633558.5,1598911.375,1612885.375,5172151.0,0.0834073126316071,0.652258515357971,0.633924603462219,2032119.375,1611770.125,2063885.75,8142377.0,0.629981875419617,1.14337408542633,1.1689635515213,0.545147240161896,0.120835319161415,0.0456732958555222,2.34963170932244,0.355637013912201,0.350705325603485,0.34766685962677,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.596326529979706,0.204661473631859,0.211829498410225,0.0924578830599785,-0.10506783425808,-0.0002075478259939,0.369232773780823,0.331231534481049,0.317363262176514,0.463408440351486,0.478807598352432,0.275682270526886,0.803483128547668,0.673
Brazil,2002,1.262841536,1.760242779,70.41,1656122.375,1657569.0,179.53752,71.2536468505859,1818.72573890106,2.12745189666748,1313879.25,1618859.875,1631614.0,1630036.25,5286129.5,0.0840906649827957,0.629226624965668,0.594975531101227,2086134.875,1653796.0,2062579.625,8309068.5,0.64251571893692,1.12947428226471,1.12414121627808,0.533069789409637,0.119212470948696,0.0455628111958504,2.92036301775519,0.318396896123886,0.313818156719208,0.314121931791306,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.605354845523834,0.187100484967232,0.200688138604164,0.0966469272971153,-0.0898952409625053,0.0001048746125889,0.319781363010406,0.29409271478653,0.314220786094666,0.463522762060165,0.47138786315918,0.254628241062164,0.701896727085114,0.678
